Logger 1,Time,Celsius(°C)
1,2025-02-17 17:00:00,3.0
2,2025-02-17 17:02:00,3.0
3,2025-02-17 17:04:00,2.5
4,2025-02-17 17:06:00,2.0
5,2025-02-17 17:08:00,2.0
6,2025-02-17 17:10:00,1.5
7,2025-02-17 17:12:00,1.5
8,2025-02-17 17:14:00,1.5
9,2025-02-17 17:16:00,1.0
10,2025-02-17 17:18:00,1.0
11,2025-02-17 17:20:00,1.0
12,2025-02-17 17:22:00,1.0
13,2025-02-17 17:24:00,1.0
14,2025-02-17 17:26:00,0.5
15,2025-02-17 17:28:00,0.5
16,2025-02-17 17:30:00,0.5
17,2025-02-17 17:32:00,0.5
18,2025-02-17 17:34:00,0.5
19,2025-02-17 17:36:00,0.5
20,2025-02-17 17:38:00,0.5
21,2025-02-17 17:40:00,0.5
22,2025-02-17 17:42:00,0.5
23,2025-02-17 17:44:00,0.5
24,2025-02-17 17:46:00,0.5
25,2025-02-17 17:48:00,0.5
26,2025-02-17 17:50:00,0.0
27,2025-02-17 17:52:00,0.0
28,2025-02-17 17:54:00,0.0
29,2025-02-17 17:56:00,0.0
30,2025-02-17 17:58:00,0.0
31,2025-02-17 18:00:00,0.0
32,2025-02-17 18:02:00,0.0
33,2025-02-17 18:04:00,0.0
34,2025-02-17 18:06:00,0.0
35,2025-02-17 18:08:00,0.0
36,2025-02-17 18:10:00,0.0
37,2025-02-17 18:12:00,0.0
38,2025-02-17 18:14:00,0.0
39,2025-02-17 18:16:00,0.0
40,2025-02-17 18:18:00,0.0
41,2025-02-17 18:20:00,0.0
42,2025-02-17 18:22:00,0.0
43,2025-02-17 18:24:00,0.0
44,2025-02-17 18:26:00,0.0
45,2025-02-17 18:28:00,0.0
46,2025-02-17 18:30:00,0.0
47,2025-02-17 18:32:00,0.0
48,2025-02-17 18:34:00,-0.5
49,2025-02-17 18:36:00,-0.5
50,2025-02-17 18:38:00,-0.5
51,2025-02-17 18:40:00,-0.5
52,2025-02-17 18:42:00,-0.5
53,2025-02-17 18:44:00,-0.5
54,2025-02-17 18:46:00,-0.5
55,2025-02-17 18:48:00,-0.5
56,2025-02-17 18:50:00,-0.5
57,2025-02-17 18:52:00,-0.5
58,2025-02-17 18:54:00,-0.5
59,2025-02-17 18:56:00,-0.5
60,2025-02-17 18:58:00,-0.5
