Logger 4,Time,Celsius(°C)
1,2025-02-17 17:00:00,-0.5
2,2025-02-17 17:02:00,-0.5
3,2025-02-17 17:04:00,-1.0
4,2025-02-17 17:06:00,-1.0
5,2025-02-17 17:08:00,-1.0
6,2025-02-17 17:10:00,-1.0
7,2025-02-17 17:12:00,-1.0
8,2025-02-17 17:14:00,-1.0
9,2025-02-17 17:16:00,-1.5
10,2025-02-17 17:18:00,-1.5
11,2025-02-17 17:20:00,-1.5
12,2025-02-17 17:22:00,-1.5
13,2025-02-17 17:24:00,-1.5
14,2025-02-17 17:26:00,-1.5
15,2025-02-17 17:28:00,-1.5
16,2025-02-17 17:30:00,-1.5
17,2025-02-17 17:32:00,-1.5
18,2025-02-17 17:34:00,-1.5
19,2025-02-17 17:36:00,-1.5
20,2025-02-17 17:38:00,-2.0
21,2025-02-17 17:40:00,-2.0
22,2025-02-17 17:42:00,-2.0
23,2025-02-17 17:44:00,-2.0
24,2025-02-17 17:46:00,-2.0
25,2025-02-17 17:48:00,-2.0
26,2025-02-17 17:50:00,-2.0
27,2025-02-17 17:52:00,-2.0
28,2025-02-17 17:54:00,-2.0
29,2025-02-17 17:56:00,-2.0
30,2025-02-17 17:58:00,-2.5
31,2025-02-17 18:00:00,-2.5
32,2025-02-17 18:02:00,-2.5
33,2025-02-17 18:04:00,-2.5
34,2025-02-17 18:06:00,-2.5
35,2025-02-17 18:08:00,-2.5
36,2025-02-17 18:10:00,-2.5
37,2025-02-17 18:12:00,-2.5
38,2025-02-17 18:14:00,-2.5
39,2025-02-17 18:16:00,-2.5
40,2025-02-17 18:18:00,-2.5
41,2025-02-17 18:20:00,-2.5
42,2025-02-17 18:22:00,-2.5
43,2025-02-17 18:24:00,-2.5
44,2025-02-17 18:26:00,-2.5
45,2025-02-17 18:28:00,-2.5
46,2025-02-17 18:30:00,-2.5
47,2025-02-17 18:32:00,-2.5
48,2025-02-17 18:34:00,-2.5
49,2025-02-17 18:36:00,-2.5
50,2025-02-17 18:38:00,-2.5
51,2025-02-17 18:40:00,-2.5
52,2025-02-17 18:42:00,-2.5
53,2025-02-17 18:44:00,-3.0
54,2025-02-17 18:46:00,-3.0
55,2025-02-17 18:48:00,-3.0
56,2025-02-17 18:50:00,-3.0
57,2025-02-17 18:52:00,-3.0
58,2025-02-17 18:54:00,-3.0
59,2025-02-17 18:56:00,-3.0
60,2025-02-17 18:58:00,-3.0
61,2025-02-17 19:00:00,-3.0
62,2025-02-17 19:02:00,-3.0
63,2025-02-17 19:04:00,-3.0
64,2025-02-17 19:06:00,-3.0
65,2025-02-17 19:08:00,-3.0
66,2025-02-17 19:10:00,-3.0
67,2025-02-17 19:12:00,-3.0
68,2025-02-17 19:14:00,-3.0
69,2025-02-17 19:16:00,-3.0
70,2025-02-17 19:18:00,-3.0
71,2025-02-17 19:20:00,-3.0
72,2025-02-17 19:22:00,-3.0
73,2025-02-17 19:24:00,-3.0
74,2025-02-17 19:26:00,-3.0
75,2025-02-17 19:28:00,-3.0
76,2025-02-17 19:30:00,-3.0
77,2025-02-17 19:32:00,-3.0
78,2025-02-17 19:34:00,-3.0
79,2025-02-17 19:36:00,-3.0
80,2025-02-17 19:38:00,-3.0
