Logger 3,Time,Celsius(°C)
1,2025-02-17 17:00:00,2.5
2,2025-02-17 17:02:00,2.0
3,2025-02-17 17:04:00,1.5
4,2025-02-17 17:06:00,1.0
5,2025-02-17 17:08:00,1.0
6,2025-02-17 17:10:00,0.5
7,2025-02-17 17:12:00,0.5
8,2025-02-17 17:14:00,0.5
9,2025-02-17 17:16:00,0.0
10,2025-02-17 17:18:00,0.0
11,2025-02-17 17:20:00,0.0
12,2025-02-17 17:22:00,0.0
13,2025-02-17 17:24:00,-0.5
14,2025-02-17 17:26:00,-0.5
15,2025-02-17 17:28:00,-0.5
16,2025-02-17 17:30:00,-0.5
17,2025-02-17 17:32:00,-0.5
18,2025-02-17 17:34:00,-0.5
19,2025-02-17 17:36:00,-0.5
20,2025-02-17 17:38:00,-0.5
21,2025-02-17 17:40:00,-0.5
22,2025-02-17 17:42:00,-1.0
23,2025-02-17 17:44:00,-1.0
24,2025-02-17 17:46:00,-1.0
25,2025-02-17 17:48:00,-1.0
26,2025-02-17 17:50:00,-1.0
27,2025-02-17 17:52:00,-1.0
28,2025-02-17 17:54:00,-1.0
29,2025-02-17 17:56:00,-1.0
30,2025-02-17 17:58:00,-1.0
31,2025-02-17 18:00:00,-1.0
32,2025-02-17 18:02:00,-1.0
33,2025-02-17 18:04:00,-1.0
34,2025-02-17 18:06:00,-1.0
35,2025-02-17 18:08:00,-1.0
36,2025-02-17 18:10:00,-1.0
37,2025-02-17 18:12:00,-1.0
38,2025-02-17 18:14:00,-1.0
39,2025-02-17 18:16:00,-1.0
40,2025-02-17 18:18:00,-1.5
41,2025-02-17 18:20:00,-1.5
42,2025-02-17 18:22:00,-1.5
43,2025-02-17 18:24:00,-1.5
44,2025-02-17 18:26:00,-1.5
45,2025-02-17 18:28:00,-1.5
46,2025-02-17 18:30:00,-1.5
47,2025-02-17 18:32:00,-1.5
48,2025-02-17 18:34:00,-1.5
49,2025-02-17 18:36:00,-1.5
50,2025-02-17 18:38:00,-1.5
51,2025-02-17 18:40:00,-1.5
52,2025-02-17 18:42:00,-1.5
53,2025-02-17 18:44:00,-1.5
54,2025-02-17 18:46:00,-1.5
55,2025-02-17 18:48:00,-1.5
56,2025-02-17 18:50:00,-1.5
57,2025-02-17 18:52:00,-1.5
58,2025-02-17 18:54:00,-1.5
59,2025-02-17 18:56:00,-1.5
60,2025-02-17 18:58:00,-1.5
61,2025-02-17 19:00:00,-1.5
62,2025-02-17 19:02:00,-1.5
63,2025-02-17 19:04:00,-1.5
64,2025-02-17 19:06:00,-1.5
65,2025-02-17 19:08:00,-1.5
66,2025-02-17 19:10:00,-2.0
67,2025-02-17 19:12:00,-2.0
68,2025-02-17 19:14:00,-2.0
69,2025-02-17 19:16:00,-2.0
70,2025-02-17 19:18:00,-2.0
71,2025-02-17 19:20:00,-2.0
72,2025-02-17 19:22:00,-2.0
73,2025-02-17 19:24:00,-2.0
74,2025-02-17 19:26:00,-2.0
75,2025-02-17 19:28:00,-2.0
76,2025-02-17 19:30:00,-2.0
77,2025-02-17 19:32:00,-2.0
78,2025-02-17 19:34:00,-2.0
79,2025-02-17 19:36:00,-2.0
80,2025-02-17 19:38:00,-2.0
81,2025-02-17 19:40:00,-2.0
82,2025-02-17 19:42:00,-2.0
83,2025-02-17 19:44:00,-2.0
84,2025-02-17 19:46:00,-2.0
85,2025-02-17 19:48:00,-2.0
86,2025-02-17 19:50:00,-2.0
87,2025-02-17 19:52:00,-2.0
88,2025-02-17 19:54:00,-2.0
89,2025-02-17 19:56:00,-2.0
90,2025-02-17 19:58:00,-2.0
91,2025-02-17 20:00:00,-2.0
92,2025-02-17 20:02:00,-2.0
93,2025-02-17 20:04:00,-2.0
94,2025-02-17 20:06:00,-2.0
95,2025-02-17 20:08:00,-2.0
96,2025-02-17 20:10:00,-2.0
97,2025-02-17 20:12:00,-2.0
98,2025-02-17 20:14:00,-2.0
99,2025-02-17 20:16:00,-2.0
100,2025-02-17 20:18:00,-2.0
101,2025-02-17 20:20:00,-2.5
102,2025-02-17 20:22:00,-2.5
103,2025-02-17 20:24:00,-2.5
104,2025-02-17 20:26:00,-2.5
105,2025-02-17 20:28:00,-2.5
106,2025-02-17 20:30:00,-2.5
107,2025-02-17 20:32:00,-2.5
108,2025-02-17 20:34:00,-2.5
109,2025-02-17 20:36:00,-2.5
110,2025-02-17 20:38:00,-2.5
111,2025-02-17 20:40:00,-2.5
112,2025-02-17 20:42:00,-2.5
113,2025-02-17 20:44:00,-2.5
114,2025-02-17 20:46:00,-2.5
115,2025-02-17 20:48:00,-2.5
116,2025-02-17 20:50:00,-2.5
117,2025-02-17 20:52:00,-2.5
118,2025-02-17 20:54:00,-2.5
119,2025-02-17 20:56:00,-2.5
120,2025-02-17 20:58:00,-2.5
121,2025-02-17 21:00:00,-2.5
122,2025-02-17 21:02:00,-2.5
123,2025-02-17 21:04:00,-2.5
124,2025-02-17 21:06:00,-2.5
125,2025-02-17 21:08:00,-2.5
126,2025-02-17 21:10:00,-2.5
127,2025-02-17 21:12:00,-2.5
128,2025-02-17 21:14:00,-2.5
129,2025-02-17 21:16:00,-2.5
130,2025-02-17 21:18:00,-2.5
131,2025-02-17 21:20:00,-2.5
132,2025-02-17 21:22:00,-2.5
133,2025-02-17 21:24:00,-2.5
134,2025-02-17 21:26:00,-2.5
135,2025-02-17 21:28:00,-2.5
136,2025-02-17 21:30:00,-2.5
137,2025-02-17 21:32:00,-2.5
138,2025-02-17 21:34:00,-2.5
139,2025-02-17 21:36:00,-2.5
140,2025-02-17 21:38:00,-2.5
141,2025-02-17 21:40:00,-2.5
142,2025-02-17 21:42:00,-2.5
143,2025-02-17 21:44:00,-2.5
144,2025-02-17 21:46:00,-2.5
145,2025-02-17 21:48:00,-2.5
146,2025-02-17 21:50:00,-2.5
147,2025-02-17 21:52:00,-2.5
148,2025-02-17 21:54:00,-2.5
149,2025-02-17 21:56:00,-2.5
150,2025-02-17 21:58:00,-2.5
151,2025-02-17 22:00:00,-2.5
152,2025-02-17 22:02:00,-2.5
153,2025-02-17 22:04:00,-2.5
154,2025-02-17 22:06:00,-2.5
155,2025-02-17 22:08:00,-2.5
156,2025-02-17 22:10:00,-2.5
157,2025-02-17 22:12:00,-2.5
158,2025-02-17 22:14:00,-2.5
159,2025-02-17 22:16:00,-2.5
160,2025-02-17 22:18:00,-2.5
161,2025-02-17 22:20:00,-2.5
162,2025-02-17 22:22:00,-2.5
163,2025-02-17 22:24:00,-2.5
164,2025-02-17 22:26:00,-3.0
165,2025-02-17 22:28:00,-3.0
166,2025-02-17 22:30:00,-3.0
167,2025-02-17 22:32:00,-3.0
168,2025-02-17 22:34:00,-3.0
169,2025-02-17 22:36:00,-3.0
170,2025-02-17 22:38:00,-3.0
171,2025-02-17 22:40:00,-3.0
172,2025-02-17 22:42:00,-3.0
173,2025-02-17 22:44:00,-3.0
174,2025-02-17 22:46:00,-3.0
175,2025-02-17 22:48:00,-3.0
176,2025-02-17 22:50:00,-3.0
177,2025-02-17 22:52:00,-3.0
178,2025-02-17 22:54:00,-3.0
179,2025-02-17 22:56:00,-3.0
180,2025-02-17 22:58:00,-3.0
181,2025-02-17 23:00:00,-3.0
182,2025-02-17 23:02:00,-3.0
183,2025-02-17 23:04:00,-3.0
184,2025-02-17 23:06:00,-3.0
185,2025-02-17 23:08:00,-3.0
186,2025-02-17 23:10:00,-3.0
187,2025-02-17 23:12:00,-3.0
188,2025-02-17 23:14:00,-3.0
189,2025-02-17 23:16:00,-3.0
190,2025-02-17 23:18:00,-3.0
191,2025-02-17 23:20:00,-3.0
192,2025-02-17 23:22:00,-3.0
193,2025-02-17 23:24:00,-3.0
194,2025-02-17 23:26:00,-3.0
195,2025-02-17 23:28:00,-3.0
196,2025-02-17 23:30:00,-3.0
197,2025-02-17 23:32:00,-3.0
198,2025-02-17 23:34:00,-3.0
199,2025-02-17 23:36:00,-3.0
200,2025-02-17 23:38:00,-3.0
201,2025-02-17 23:40:00,-3.0
202,2025-02-17 23:42:00,-3.0
203,2025-02-17 23:44:00,-3.0
204,2025-02-17 23:46:00,-3.0
205,2025-02-17 23:48:00,-3.0
206,2025-02-17 23:50:00,-3.0
207,2025-02-17 23:52:00,-3.0
208,2025-02-17 23:54:00,-3.0
209,2025-02-17 23:56:00,-3.0
210,2025-02-17 23:58:00,-3.0
211,2025-02-18 00:00:00,-3.0
212,2025-02-18 00:02:00,-3.0
213,2025-02-18 00:04:00,-3.0
214,2025-02-18 00:06:00,-3.0
215,2025-02-18 00:08:00,-3.0
216,2025-02-18 00:10:00,-3.0
217,2025-02-18 00:12:00,-3.0
218,2025-02-18 00:14:00,-3.0
219,2025-02-18 00:16:00,-3.0
220,2025-02-18 00:18:00,-3.0
221,2025-02-18 00:20:00,-3.5
222,2025-02-18 00:22:00,-3.0
223,2025-02-18 00:24:00,-3.0
224,2025-02-18 00:26:00,-3.5
225,2025-02-18 00:28:00,-3.5
226,2025-02-18 00:30:00,-3.5
227,2025-02-18 00:32:00,-3.5
228,2025-02-18 00:34:00,-3.5
229,2025-02-18 00:36:00,-3.5
230,2025-02-18 00:38:00,-3.5
231,2025-02-18 00:40:00,-3.5
232,2025-02-18 00:42:00,-3.5
233,2025-02-18 00:44:00,-3.5
234,2025-02-18 00:46:00,-3.5
235,2025-02-18 00:48:00,-3.5
236,2025-02-18 00:50:00,-3.5
237,2025-02-18 00:52:00,-3.5
238,2025-02-18 00:54:00,-3.5
239,2025-02-18 00:56:00,-3.5
240,2025-02-18 00:58:00,-3.5
241,2025-02-18 01:00:00,-3.5
242,2025-02-18 01:02:00,-3.5
243,2025-02-18 01:04:00,-3.5
244,2025-02-18 01:06:00,-3.5
245,2025-02-18 01:08:00,-3.5
246,2025-02-18 01:10:00,-3.5
247,2025-02-18 01:12:00,-3.5
248,2025-02-18 01:14:00,-3.5
249,2025-02-18 01:16:00,-3.5
250,2025-02-18 01:18:00,-3.5
251,2025-02-18 01:20:00,-3.5
252,2025-02-18 01:22:00,-3.5
253,2025-02-18 01:24:00,-3.5
254,2025-02-18 01:26:00,-3.5
255,2025-02-18 01:28:00,-3.5
256,2025-02-18 01:30:00,-3.5
257,2025-02-18 01:32:00,-3.5
258,2025-02-18 01:34:00,-3.5
259,2025-02-18 01:36:00,-3.5
260,2025-02-18 01:38:00,-3.5
261,2025-02-18 01:40:00,-3.5
262,2025-02-18 01:42:00,-3.5
263,2025-02-18 01:44:00,-3.5
264,2025-02-18 01:46:00,-3.5
265,2025-02-18 01:48:00,-3.5
266,2025-02-18 01:50:00,-3.5
267,2025-02-18 01:52:00,-3.5
268,2025-02-18 01:54:00,-3.5
269,2025-02-18 01:56:00,-3.5
270,2025-02-18 01:58:00,-3.5
271,2025-02-18 02:00:00,-3.5
272,2025-02-18 02:02:00,-3.5
273,2025-02-18 02:04:00,-3.5
274,2025-02-18 02:06:00,-3.5
275,2025-02-18 02:08:00,-3.5
276,2025-02-18 02:10:00,-3.5
277,2025-02-18 02:12:00,-3.5
278,2025-02-18 02:14:00,-3.5
279,2025-02-18 02:16:00,-3.5
280,2025-02-18 02:18:00,-3.5
281,2025-02-18 02:20:00,-3.5
282,2025-02-18 02:22:00,-3.5
283,2025-02-18 02:24:00,-3.5
284,2025-02-18 02:26:00,-3.5
285,2025-02-18 02:28:00,-3.5
286,2025-02-18 02:30:00,-3.5
287,2025-02-18 02:32:00,-3.5
288,2025-02-18 02:34:00,-3.5
289,2025-02-18 02:36:00,-3.5
